Name,Alternating,PD,Positive,HOMFLY
9_10,Y,[[1;13;2;12];[3;11;4;10];[5;17;6;16];[7;15;8;14];[9;1;10;18];[11;3;12;2];[13;5;14;4];[15;7;16;6];[17;9;18;8]],Y,(2*v^6+ v^8-2*v^10)+ (2*v^4+ 5*v^6+ 2*v^8-v^10)*z^2+ (v^4+ 2*v^6+ v^8)*z^4
9_13,Y,[[2;12;3;11];[4;14;5;13];[6;16;7;15];[8;18;9;17];[10;6;11;5];[12;4;13;3];[14;2;15;1];[16;10;17;9];[18;8;1;7]],Y,(3*v^6-v^8-v^10)+ (2*v^4+ 5*v^6+ v^8-v^10)*z^2+ (v^4+ 2*v^6+ v^8)*z^4
9_16,Y,[[1;9;2;8];[3;11;4;10];[5;15;6;14];[7;5;8;4];[9;3;10;2];[11;17;12;16];[13;1;14;18];[15;7;16;6];[17;13;18;12]],Y,(4*v^6-3*v^8)+ (8*v^6-2*v^10)*z^2+ (5*v^6+ 3*v^8-v^10)*z^4+ (v^6+ v^8)*z^6
9_18,Y,[[2;12;3;11];[4;2;5;1];[6;16;7;15];[8;14;9;13];[10;18;11;17];[12;4;13;3];[14;8;15;7];[16;10;17;9];[18;6;1;5]],Y,(v^4+ v^6-v^10)+ (2*v^4+ 4*v^6+ v^8-v^10)*z^2+ (v^4+ 2*v^6+ v^8)*z^4
9_23,Y,[[2;16;3;15];[4;12;5;11];[6;4;7;3];[8;18;9;17];[10;14;11;13];[12;6;13;5];[14;8;15;7];[16;2;17;1];[18;10;1;9]],Y,(v^4+ 2*v^6-2*v^8)+ (2*v^4+ 4*v^6-v^10)*z^2+ (v^4+ 2*v^6+ v^8)*z^4
9_35,Y,[[2;12;3;11];[4;16;5;15];[6;14;7;13];[8;18;9;17];[10;4;11;3];[12;2;13;1];[14;6;15;5];[16;10;17;9];[18;8;1;7]],Y,(3*v^6-v^8-v^10)+ (v^2+ 2*v^4+ 3*v^6+ v^8)*z^2
9_38,Y,[[2;14;3;13];[4;10;5;9];[6;16;7;15];[8;4;9;3];[10;18;11;17];[12;6;13;5];[14;2;15;1];[16;12;17;11];[18;8;1;7]],Y,(4*v^6-3*v^8)+ (v^4+ 7*v^6-v^8-v^10)*z^2+ (v^4+ 3*v^6+ v^8)*z^4
10_49,Y,[[1;7;2;6];[3;17;4;16];[5;9;6;8];[7;3;8;2];[9;15;10;14];[11;19;12;18];[13;1;14;20];[15;5;16;4];[17;11;18;10];[19;13;20;12]],Y,(v^6+ 5*v^8-7*v^10+ 2*v^12)+ (4*v^6+ 12*v^8-10*v^10+ v^12)*z^2+ (4*v^6+ 9*v^8-3*v^10)*z^4+ (v^6+ 2*v^8)*z^6
10_53,Y,[[1;7;2;6];[3;17;4;16];[5;9;6;8];[7;3;8;2];[9;15;10;14];[11;19;12;18];[13;1;14;20];[15;5;16;4];[17;13;18;12];[19;11;20;10]],Y,(3*v^6-3*v^10+ v^12)+ (v^4+ 6*v^6+ 2*v^8-3*v^10)*z^2+ (v^4+ 3*v^6+ 2*v^8)*z^4
10_55,Y,[[2;10;3;9];[4;18;5;17];[6;12;7;11];[8;2;9;1];[10;8;11;7];[12;6;13;5];[14;20;15;19];[16;14;17;13];[18;4;19;3];[20;16;1;15]],Y,(v^4+ v^6+ v^8-3*v^10+ v^12)+ (2*v^4+ 3*v^6+ 3*v^8-3*v^10)*z^2+ (v^4+ 2*v^6+ 2*v^8)*z^4
10_63,Y,[[1;9;2;8];[3;19;4;18];[5;17;6;16];[7;11;8;10];[9;3;10;2];[11;15;12;14];[13;1;14;20];[15;7;16;6];[17;5;18;4];[19;13;20;12]],Y,(v^4+ 3*v^8-4*v^10+ v^12)+ (2*v^4+ 3*v^6+ 4*v^8-3*v^10)*z^2+ (v^4+ 2*v^6+ 2*v^8)*z^4
10_66,Y,[[1;11;2;10];[3;13;4;12];[5;19;6;18];[7;15;8;14];[9;5;10;4];[11;3;12;2];[13;17;14;16];[15;9;16;8];[17;1;18;20];[19;7;20;6]],Y,(2*v^6+ 2*v^8-4*v^10+ v^12)+ (5*v^6+ 9*v^8-8*v^10+ v^12)*z^2+ (4*v^6+ 8*v^8-3*v^10)*z^4+ (v^6+ 2*v^8)*z^6
10_80,Y,[[1;17;2;16];[3;11;4;10];[5;19;6;18];[7;13;8;12];[9;5;10;4];[11;15;12;14];[13;9;14;8];[15;1;16;20];[17;3;18;2];[19;7;20;6]],Y,(2*v^6+ 3*v^8-6*v^10+ 2*v^12)+ (5*v^6+ 9*v^8-9*v^10+ v^12)*z^2+ (4*v^6+ 8*v^8-3*v^10)*z^4+ (v^6+ 2*v^8)*z^6
10_101,Y,[[2;12;3;11];[4;18;5;17];[6;14;7;13];[8;20;9;19];[10;6;11;5];[12;2;13;1];[14;10;15;9];[16;4;17;3];[18;16;19;15];[20;8;1;7]],Y,(2*v^6+ 2*v^8-4*v^10+ v^12)+ (v^4+ 5*v^6+ 5*v^8-4*v^10)*z^2+ (v^4+ 3*v^6+ 3*v^8)*z^4
10_120,Y,[[2;10;3;9];[4;18;5;17];[6;12;7;11];[8;4;9;3];[10;16;11;15];[12;20;13;19];[14;8;15;7];[16;2;17;1];[18;14;19;13];[20;6;1;5]],Y,(3*v^6-3*v^10+ v^12)+ (7*v^6+ 3*v^8-4*v^10)*z^2+ (v^4+ 4*v^6+ 3*v^8)*z^4
11a_43,Y,[[4;2;5;1];[8;4;9;3];[14;6;15;5];[18;16;19;15];[16;12;17;11];[12;18;13;17];[22;20;1;19];[20;10;21;9];[10;22;11;21];[6;14;7;13];[2;8;3;7]],Y,(v^6+ 7*v^8-12*v^10+ 6*v^12-v^14)+ (3*v^6+ 16*v^8-17*v^10+ 4*v^12)*z^2+ (3*v^6+ 12*v^8-6*v^10)*z^4+ (v^6+ 3*v^8)*z^6
11a_94,Y,[[4;2;5;1];[10;4;11;3];[12;6;13;5];[18;8;19;7];[20;14;21;13];[22;16;1;15];[14;22;15;21];[16;20;17;19];[6;18;7;17];[8;12;9;11];[2;10;3;9]],Y,(2*v^6+ 2*v^8-4*v^10+ v^12)+ (5*v^6+ 7*v^8-4*v^10-v^12)*z^2+ (4*v^6+ 7*v^8+ v^10-v^12)*z^4+ (v^6+ 2*v^8+ v^10)*z^6
11a_95,Y,[[4;2;5;1];[10;4;11;3];[12;6;13;5];[18;8;19;7];[22;14;1;13];[20;16;21;15];[16;20;17;19];[14;22;15;21];[6;18;7;17];[8;12;9;11];[2;10;3;9]],Y,(v^4+ v^6-v^10)+ (2*v^4+ 3*v^6+ 2*v^8-v^12)*z^2+ (v^4+ 2*v^6+ 2*v^8+ v^10)*z^4
11a_123,Y,[[4;2;5;1];[10;4;11;3];[20;8;21;7];[18;14;19;13];[14;6;15;5];[6;18;7;17];[12;20;13;19];[8;12;9;11];[22;16;1;15];[16;22;17;21];[2;10;3;9]],Y,(2*v^6+ 2*v^8-4*v^10+ v^12)+ (v^4+ 4*v^6+ 6*v^8-3*v^10-v^12)*z^2+ (v^4+ 3*v^6+ 4*v^8+ v^10)*z^4
11a_124,Y,[[4;2;5;1];[10;4;11;3];[14;6;15;5];[22;16;1;15];[16;12;17;11];[20;8;21;7];[18;22;19;21];[12;18;13;17];[6;20;7;19];[8;14;9;13];[2;10;3;9]],Y,(v^6+ 5*v^8-7*v^10+ 2*v^12)+ (3*v^6+ 13*v^8-9*v^10)*z^2+ (3*v^6+ 11*v^8-v^10-v^12)*z^4+ (v^6+ 3*v^8+ v^10)*z^6
11a_186,Y,[[4;2;5;1];[12;4;13;3];[14;6;15;5];[16;8;17;7];[20;10;21;9];[22;18;1;17];[18;22;19;21];[6;16;7;15];[8;20;9;19];[10;14;11;13];[2;12;3;11]],Y,(2*v^6+ v^8-2*v^10)+ (5*v^6+ 6*v^8-v^10-2*v^12)*z^2+ (4*v^6+ 7*v^8+ 2*v^10-v^12)*z^4+ (v^6+ 2*v^8+ v^10)*z^6
11a_191,Y,[[4;2;5;1];[12;4;13;3];[14;6;15;5];[18;8;19;7];[22;16;1;15];[16;22;17;21];[20;10;21;9];[6;18;7;17];[8;20;9;19];[10;14;11;13];[2;12;3;11]],Y,(v^6+ 3*v^8-3*v^10)+ (4*v^6+ 9*v^8-2*v^10-2*v^12)*z^2+ (4*v^6+ 8*v^8+ 2*v^10-v^12)*z^4+ (v^6+ 2*v^8+ v^10)*z^6
11a_192,Y,[[4;2;5;1];[12;4;13;3];[14;6;15;5];[20;10;21;9];[22;16;1;15];[16;22;17;21];[6;20;7;19];[18;8;19;7];[8;18;9;17];[10;14;11;13];[2;12;3;11]],Y,(2*v^6+ v^8-2*v^10)+ (v^4+ 5*v^6+ 4*v^8-v^10-v^12)*z^2+ (v^4+ 3*v^6+ 3*v^8+ v^10)*z^4
11a_200,Y,[[4;2;5;1];[12;4;13;3];[16;6;17;5];[20;10;21;9];[22;18;1;17];[18;22;19;21];[8;20;9;19];[14;8;15;7];[10;14;11;13];[6;16;7;15];[2;12;3;11]],Y,(v^4+ 2*v^8-2*v^10)+ (2*v^4+ 2*v^6+ 5*v^8-v^10-v^12)*z^2+ (v^4+ 2*v^6+ 3*v^8+ v^10)*z^4
11a_227,Y,[[4;2;5;1];[12;4;13;3];[18;6;19;5];[8;14;9;13];[22;8;1;7];[20;16;21;15];[14;22;15;21];[6;20;7;19];[10;18;11;17];[16;10;17;9];[2;12;3;11]],Y,(v^6+ 4*v^8-5*v^10+ v^12)+ (3*v^6+ 12*v^8-6*v^10-v^12)*z^2+ (3*v^6+ 11*v^8-v^12)*z^4+ (v^6+ 3*v^8+ v^10)*z^6
11a_234,Y,[[4;2;5;1];[14;4;15;3];[16;6;17;5];[18;8;19;7];[20;10;21;9];[22;12;1;11];[6;18;7;17];[8;20;9;19];[10;22;11;21];[12;16;13;15];[2;14;3;13]],Y,(4*v^8-2*v^10-v^12)+ (14*v^8+ 3*v^10-6*v^12)*z^2+ (16*v^8+ 10*v^10-5*v^12)*z^4+ (7*v^8+ 6*v^10-v^12)*z^6+ (v^8+ v^10)*z^8
11a_235,Y,[[4;2;5;1];[14;4;15;3];[16;6;17;5];[18;8;19;7];[22;12;1;11];[6;18;7;17];[8;22;9;21];[20;10;21;9];[10;20;11;19];[12;16;13;15];[2;14;3;13]],Y,(v^6+ 2*v^8-v^10-v^12)+ (4*v^6+ 8*v^8+ v^10-3*v^12)*z^2+ (4*v^6+ 8*v^8+ 3*v^10-v^12)*z^4+ (v^6+ 2*v^8+ v^10)*z^6
11a_236,Y,[[4;2;5;1];[14;4;15;3];[16;6;17;5];[22;12;1;11];[6;22;7;21];[20;10;21;9];[18;8;19;7];[8;20;9;19];[10;18;11;17];[12;16;13;15];[2;14;3;13]],Y,(2*v^6-v^12)+ (5*v^6+ 6*v^8-2*v^12)*z^2+ (4*v^6+ 7*v^8+ 2*v^10-v^12)*z^4+ (v^6+ 2*v^8+ v^10)*z^6
11a_237,Y,[[4;2;5;1];[14;4;15;3];[16;6;17;5];[20;12;21;11];[22;10;1;9];[10;22;11;21];[6;20;7;19];[18;8;19;7];[8;18;9;17];[12;16;13;15];[2;14;3;13]],Y,(2*v^6-v^12)+ (v^4+ 5*v^6+ 4*v^8-v^12)*z^2+ (v^4+ 3*v^6+ 3*v^8+ v^10)*z^4
11a_238,Y,[[4;2;5;1];[14;4;15;3];[16;6;17;5];[22;12;1;11];[6;22;7;21];[20;8;21;7];[18;10;19;9];[10;18;11;17];[8;20;9;19];[12;16;13;15];[2;14;3;13]],Y,(v^4+ v^8-v^12)+ (2*v^4+ 3*v^6+ 3*v^8+ v^10-v^12)*z^2+ (v^4+ 2*v^6+ 2*v^8+ v^10)*z^4
11a_240,Y,[[4;2;5;1];[14;4;15;3];[18;6;19;5];[20;8;21;7];[22;10;1;9];[6;20;7;19];[8;22;9;21];[12;18;13;17];[16;12;17;11];[10;16;11;15];[2;14;3;13]],Y,(6*v^8-6*v^10+ v^12)+ (17*v^8-5*v^10-3*v^12)*z^2+ (17*v^8+ 5*v^10-4*v^12)*z^4+ (7*v^8+ 5*v^10-v^12)*z^6+ (v^8+ v^10)*z^8
11a_241,Y,[[4;2;5;1];[14;4;15;3];[18;6;19;5];[22;10;1;9];[6;22;7;21];[20;8;21;7];[8;20;9;19];[12;18;13;17];[16;12;17;11];[10;16;11;15];[2;14;3;13]],Y,(2*v^6+ v^8-2*v^10)+ (5*v^6+ 6*v^8-v^10-2*v^12)*z^2+ (4*v^6+ 7*v^8+ 2*v^10-v^12)*z^4+ (v^6+ 2*v^8+ v^10)*z^6
11a_242,Y,[[4;2;5;1];[14;4;15;3];[18;6;19;5];[20;8;21;7];[22;10;1;9];[6;20;7;19];[8;22;9;21];[16;12;17;11];[12;16;13;15];[10;18;11;17];[2;14;3;13]],Y,(3*v^6-2*v^8+ v^10-v^12)+ (7*v^6+ 4*v^10-3*v^12)*z^2+ (5*v^6+ 3*v^8+ 4*v^10-v^12)*z^4+ (v^6+ v^8+ v^10)*z^6
11a_243,Y,[[4;2;5;1];[14;4;15;3];[18;6;19;5];[22;10;1;9];[6;22;7;21];[20;8;21;7];[8;20;9;19];[16;12;17;11];[12;16;13;15];[10;18;11;17];[2;14;3;13]],Y,(v^4+ v^6-v^8+ v^10-v^12)+ (2*v^4+ 3*v^6+ 2*v^8+ v^10-v^12)*z^2+ (v^4+ 2*v^6+ 2*v^8+ v^10)*z^4
11a_244,Y,[[4;2;5;1];[14;4;15;3];[18;6;19;5];[16;10;17;9];[22;8;1;7];[20;12;21;11];[10;22;11;21];[8;16;9;15];[6;20;7;19];[12;18;13;17];[2;14;3;13]],Y,(v^6+ 3*v^8-3*v^10)+ (3*v^6+ 12*v^8-5*v^10-v^12)*z^2+ (3*v^6+ 11*v^8-v^12)*z^4+ (v^6+ 3*v^8+ v^10)*z^6
11a_245,Y,[[4;2;5;1];[14;4;15;3];[20;6;21;5];[22;8;1;7];[6;22;7;21];[16;10;17;9];[18;12;19;11];[10;18;11;17];[12;16;13;15];[8;20;9;19];[2;14;3;13]],Y,(4*v^6-4*v^8+ 2*v^10-v^12)+ (8*v^6-2*v^8+ 3*v^10-2*v^12)*z^2+ (5*v^6+ 2*v^8+ 3*v^10-v^12)*z^4+ (v^6+ v^8+ v^10)*z^6
11a_246,Y,[[4;2;5;1];[14;4;15;3];[20;6;21;5];[22;8;1;7];[6;22;7;21];[18;10;19;9];[16;12;17;11];[12;16;13;15];[10;18;11;17];[8;20;9;19];[2;14;3;13]],Y,(2*v^4-v^6+ v^10-v^12)+ (3*v^4+ v^6+ v^8+ 2*v^10-v^12)*z^2+ (v^4+ v^6+ v^8+ v^10)*z^4
11a_247,Y,[[4;2;5;1];[14;4;15;3];[22;6;1;5];[20;8;21;7];[18;10;19;9];[16;12;17;11];[12;16;13;15];[10;18;11;17];[8;20;9;19];[6;22;7;21];[2;14;3;13]],Y,(v^2+ v^10-v^12)+ (v^2+ v^4+ v^6+ v^8+ v^10)*z^2
11a_263,Y,[[6;2;7;1];[8;4;9;3];[16;6;17;5];[20;10;21;9];[22;12;1;11];[10;22;11;21];[14;20;15;19];[18;14;19;13];[12;18;13;17];[2;8;3;7];[4;16;5;15]],Y,(8*v^8-11*v^10+ 5*v^12-v^14)+ (20*v^8-13*v^10+ v^12)*z^2+ (18*v^8-3*v^12)*z^4+ (7*v^8+ 4*v^10-v^12)*z^6+ (v^8+ v^10)*z^8
11a_291,Y,[[6;2;7;1];[16;6;17;5];[22;8;1;7];[8;18;9;17];[10;4;11;3];[4;10;5;9];[14;22;15;21];[18;12;19;11];[20;14;21;13];[12;20;13;19];[2;16;3;15]],Y,(6*v^8-6*v^10+ v^12)+ (v^6+ 16*v^8-6*v^10-2*v^12)*z^2+ (3*v^6+ 13*v^8+ v^10-v^12)*z^4+ (v^6+ 3*v^8+ v^10)*z^6
11a_292,Y,[[6;2;7;1];[16;6;17;5];[22;8;1;7];[8;18;9;17];[10;4;11;3];[4;10;5;9];[20;14;21;13];[18;12;19;11];[14;20;15;19];[12;22;13;21];[2;16;3;15]],Y,(2*v^6+ v^8-2*v^10)+ (6*v^6+ 5*v^8-2*v^10-v^12)*z^2+ (v^4+ 4*v^6+ 4*v^8+ v^10)*z^4
11a_298,Y,[[6;2;7;1];[10;4;11;3];[16;10;17;9];[8;18;9;17];[18;6;19;5];[20;12;21;11];[22;14;1;13];[12;22;13;21];[14;20;15;19];[2;8;3;7];[4;16;5;15]],Y,(6*v^8-6*v^10+ v^12)+ (2*v^6+ 15*v^8-7*v^10-v^12)*z^2+ (3*v^6+ 12*v^8-v^12)*z^4+ (v^6+ 3*v^8+ v^10)*z^6
11a_299,Y,[[6;2;7;1];[10;4;11;3];[16;10;17;9];[8;18;9;17];[18;6;19;5];[22;12;1;11];[20;14;21;13];[14;20;15;19];[12;22;13;21];[2;8;3;7];[4;16;5;15]],Y,(2*v^6+ v^8-2*v^10)+ (v^4+ 5*v^6+ 4*v^8-v^10-v^12)*z^2+ (v^4+ 3*v^6+ 3*v^8+ v^10)*z^4
11a_318,Y,[[6;2;7;1];[12;4;13;3];[22;8;1;7];[10;22;11;21];[18;10;19;9];[20;14;21;13];[14;20;15;19];[8;18;9;17];[16;6;17;5];[2;12;3;11];[4;16;5;15]],Y,(v^6+ 2*v^8-v^10-v^12)+ (3*v^6+ 11*v^8-2*v^10-2*v^12)*z^2+ (3*v^6+ 11*v^8+ v^10-v^12)*z^4+ (v^6+ 3*v^8+ v^10)*z^6
11a_319,Y,[[6;2;7;1];[16;6;17;5];[22;8;1;7];[10;20;11;19];[12;4;13;3];[4;12;5;11];[14;22;15;21];[20;14;21;13];[18;10;19;9];[8;18;9;17];[2;16;3;15]],Y,(5*v^8-4*v^10)+ (2*v^6+ 14*v^8-4*v^10-2*v^12)*z^2+ (3*v^6+ 12*v^8+ v^10-v^12)*z^4+ (v^6+ 3*v^8+ v^10)*z^6
11a_320,Y,[[6;2;7;1];[16;6;17;5];[22;8;1;7];[18;10;19;9];[12;4;13;3];[4;12;5;11];[14;22;15;21];[20;14;21;13];[10;18;11;17];[8;20;9;19];[2;16;3;15]],Y,(v^6+ 3*v^8-3*v^10)+ (v^4+ 4*v^6+ 7*v^8-2*v^10-v^12)*z^2+ (v^4+ 3*v^6+ 4*v^8+ v^10)*z^4
11a_329,Y,[[6;2;7;1];[18;6;19;5];[22;8;1;7];[14;10;15;9];[12;4;13;3];[4;12;5;11];[16;22;17;21];[20;14;21;13];[8;16;9;15];[10;20;11;19];[2;18;3;17]],Y,(v^6+ 4*v^8-5*v^10+ v^12)+ (5*v^6+ 8*v^8-4*v^10-v^12)*z^2+ (v^4+ 4*v^6+ 5*v^8+ v^10)*z^4
11a_334,Y,[[6;2;7;1];[14;4;15;3];[18;8;19;7];[20;10;21;9];[22;12;1;11];[8;20;9;19];[10;22;11;21];[12;18;13;17];[16;6;17;5];[2;14;3;13];[4;16;5;15]],Y,(3*v^8-2*v^12)+ (13*v^8+ 6*v^10-7*v^12)*z^2+ (16*v^8+ 11*v^10-5*v^12)*z^4+ (7*v^8+ 6*v^10-v^12)*z^6+ (v^8+ v^10)*z^8
11a_335,Y,[[6;2;7;1];[14;4;15;3];[18;8;19;7];[22;12;1;11];[8;22;9;21];[20;10;21;9];[10;20;11;19];[12;18;13;17];[16;6;17;5];[2;14;3;13];[4;16;5;15]],Y,(v^6+ v^8+ v^10-2*v^12)+ (4*v^6+ 8*v^8+ 2*v^10-3*v^12)*z^2+ (4*v^6+ 8*v^8+ 3*v^10-v^12)*z^4+ (v^6+ 2*v^8+ v^10)*z^6
11a_336,Y,[[6;2;7;1];[16;6;17;5];[18;8;19;7];[20;10;21;9];[22;12;1;11];[8;20;9;19];[10;22;11;21];[12;18;13;17];[2;16;3;15];[14;4;15;3];[4;14;5;13]],Y,(4*v^8-2*v^10-v^12)+ (3*v^6+ 11*v^8-3*v^12)*z^2+ (4*v^6+ 9*v^8+ 3*v^10-v^12)*z^4+ (v^6+ 2*v^8+ v^10)*z^6
11a_337,Y,[[6;2;7;1];[16;6;17;5];[18;8;19;7];[22;12;1;11];[8;22;9;21];[20;10;21;9];[10;20;11;19];[12;18;13;17];[2;16;3;15];[14;4;15;3];[4;14;5;13]],Y,(v^6+ 2*v^8-v^10-v^12)+ (v^4+ 5*v^6+ 5*v^8-v^12)*z^2+ (v^4+ 3*v^6+ 3*v^8+ v^10)*z^4
11a_338,Y,[[6;2;7;1];[14;4;15;3];[20;8;21;7];[22;10;1;9];[8;22;9;21];[12;20;13;19];[18;12;19;11];[10;18;11;17];[16;6;17;5];[2;14;3;13];[4;16;5;15]],Y,(4*v^8-2*v^10-v^12)+ (16*v^8-v^10-4*v^12)*z^2+ (17*v^8+ 6*v^10-4*v^12)*z^4+ (7*v^8+ 5*v^10-v^12)*z^6+ (v^8+ v^10)*z^8
11a_339,Y,[[6;2;7;1];[14;4;15;3];[20;8;21;7];[22;10;1;9];[8;22;9;21];[18;12;19;11];[12;18;13;17];[10;20;11;19];[16;6;17;5];[2;14;3;13];[4;16;5;15]],Y,(2*v^6-v^8+ 2*v^10-2*v^12)+ (7*v^6+ v^8+ 5*v^10-3*v^12)*z^2+ (5*v^6+ 3*v^8+ 4*v^10-v^12)*z^4+ (v^6+ v^8+ v^10)*z^6
11a_340,Y,[[6;2;7;1];[16;6;17;5];[20;8;21;7];[22;10;1;9];[8;22;9;21];[12;20;13;19];[18;12;19;11];[10;18;11;17];[2;16;3;15];[14;4;15;3];[4;14;5;13]],Y,(5*v^8-4*v^10)+ (4*v^6+ 10*v^8-2*v^10-2*v^12)*z^2+ (4*v^6+ 8*v^8+ 2*v^10-v^12)*z^4+ (v^6+ 2*v^8+ v^10)*z^6
11a_341,Y,[[6;2;7;1];[16;6;17;5];[20;8;21;7];[22;10;1;9];[8;22;9;21];[18;12;19;11];[12;18;13;17];[10;20;11;19];[2;16;3;15];[14;4;15;3];[4;14;5;13]],Y,(2*v^6-v^12)+ (2*v^4+ 4*v^6+ 3*v^8+ v^10-v^12)*z^2+ (v^4+ 2*v^6+ 2*v^8+ v^10)*z^4
11a_342,Y,[[6;2;7;1];[14;4;15;3];[22;8;1;7];[20;10;21;9];[18;12;19;11];[12;18;13;17];[10;20;11;19];[8;22;9;21];[16;6;17;5];[2;14;3;13];[4;16;5;15]],Y,(v^4+ 2*v^10-2*v^12)+ (3*v^4+ 2*v^6+ 2*v^8+ 3*v^10-v^12)*z^2+ (v^4+ v^6+ v^8+ v^10)*z^4
11a_343,Y,[[6;2;7;1];[16;6;17;5];[22;8;1;7];[20;10;21;9];[18;12;19;11];[12;18;13;17];[10;20;11;19];[8;22;9;21];[2;16;3;15];[14;4;15;3];[4;14;5;13]],Y,(v^4+ v^8-v^12)+ (v^2+ 2*v^4+ 2*v^6+ 2*v^8+ v^10)*z^2
