Name,PD,HOMFLY
8_8,[[1;7;2;6];[3;12;4;13];[5;9;6;8];[7;3;8;2];[9;16;10;1];[11;14;12;15];[13;4;14;5];[15;10;16;11]],(-v^(-4)+ v^(-2)+ 2-v^2)+ (-v^(-4)+ 2*v^(-2)+ 2-v^2)*z^2+ (v^(-2)+ 1)*z^4
8_9,[[6;2;7;1];[14;8;15;7];[10;3;11;4];[2;13;3;14];[12;5;13;6];[4;11;5;12];[16;10;1;9];[8;16;9;15]],(2*v^(-2)-3+ 2*v^2)+ (3*v^(-2)-8+ 3*v^2)*z^2+ (v^(-2)-5+ v^2)*z^4-z^6
8_10,[[2;14;3;13];[4;9;5;10];[6;11;7;12];[8;15;9;16];[10;5;11;6];[12;2;13;1];[14;7;15;8];[16;4;1;3]],(-3*v^(-4)+ 6*v^(-2)-2)+ (-3*v^(-4)+ 9*v^(-2)-3)*z^2+ (-v^(-4)+ 5*v^(-2)-1)*z^4+ (v^(-2))*z^6
8_11,[[1;10;2;11];[3;13;4;12];[5;15;6;14];[7;1;8;16];[9;2;10;3];[11;9;12;8];[13;7;14;6];[15;5;16;4]],(1+ v^2-2*v^4+ v^6)+ (1-v^2-2*v^4+ v^6)*z^2+ (-v^2-v^4)*z^4
8_12,[[4;2;5;1];[10;8;11;7];[8;3;9;4];[2;9;3;10];[14;6;15;5];[16;11;1;12];[12;15;13;16];[6;14;7;13]],(v^(-4)-v^(-2)+ 1-v^2+ v^4)+ (-2*v^(-2)+ 1-2*v^2)*z^2+ z^4
8_13,[[1;9;2;8];[3;14;4;15];[5;12;6;13];[7;11;8;10];[9;3;10;2];[11;16;12;1];[13;4;14;5];[15;6;16;7]],(-v^(-4)+ 2*v^(-2))+ (-v^(-4)+ 2*v^(-2)+ 1-v^2)*z^2+ (v^(-2)+ 1)*z^4
8_14,[[2;12;3;11];[4;8;5;7];[6;15;7;16];[8;14;9;13];[10;2;11;1];[12;10;13;9];[14;4;15;3];[16;5;1;6]],1+ (1-v^2-v^4+ v^6)*z^2+ (-v^2-v^4)*z^4
8_15,[[1;7;2;6];[3;15;4;14];[5;9;6;8];[7;3;8;2];[9;13;10;12];[11;1;12;16];[13;5;14;4];[15;11;16;10]],(v^4+ 3*v^6-4*v^8+ v^10)+ (2*v^4+ 5*v^6-3*v^8)*z^2+ (v^4+ 2*v^6)*z^4
8_16,[[2;7;3;8];[4;10;5;9];[6;1;7;2];[8;14;9;13];[10;15;11;16];[12;6;13;5];[14;3;15;4];[16;11;1;12]],(-v^(-4)+ 2*v^(-2))+ (-2*v^(-4)+ 5*v^(-2)-2)*z^2+ (-v^(-4)+ 4*v^(-2)-1)*z^4+ (v^(-2))*z^6
8_17,[[6;2;7;1];[14;8;15;7];[8;3;9;4];[2;13;3;14];[12;5;13;6];[4;9;5;10];[16;12;1;11];[10;16;11;15]],(v^(-2)-1+ v^2)+ (2*v^(-2)-5+ 2*v^2)*z^2+ (v^(-2)-4+ v^2)*z^4-z^6
8_18,[[6;2;7;1];[8;3;9;4];[16;11;1;12];[2;14;3;13];[4;15;5;16];[10;6;11;5];[12;7;13;8];[14;10;15;9]],(-v^(-2)+ 3-v^2)+ (v^(-2)-1+ v^2)*z^2+ (v^(-2)-3+ v^2)*z^4-z^6
8_19,[[2;14;3;13];[5;11;6;10];[7;15;8;14];[9;5;10;4];[11;7;12;6];[12;2;13;1];[15;9;16;8];[16;4;1;3]],(5*v^6-5*v^8+ v^10)+ (10*v^6-5*v^8)*z^2+ (6*v^6-v^8)*z^4+ v^6*z^6
8_20,[[1;7;2;6];[4;13;5;14];[5;9;6;8];[7;3;8;2];[10;15;11;16];[12;9;13;10];[14;3;15;4];[16;11;1;12]],(-2*v^(-4)+ 4*v^(-2)-1)+ (-v^(-4)+ 4*v^(-2)-1)*z^2+ (v^(-2))*z^4
8_21,[[1;7;2;6];[4;13;5;14];[5;9;6;8];[7;3;8;2];[9;13;10;12];[11;1;12;16];[14;3;15;4];[15;11;16;10]],(3*v^2-3*v^4+ v^6)+ (2*v^2-3*v^4+ v^6)*z^2-v^4*z^4
